Cartographie PMSI; ; 
Référentiel géographique : France par code géographique PMSI; ; 
Code;Libellé;Séjours PMSI MCO au lieu de résidence 2018
14450;GRANDCAMP-MAISY;N/A
14460;COLOMBELLES;N/A
14470;COURSEULLES-SUR-MER;N/A
14480;CREULLY SUR SEULLES;N/A
14490;BALLEROY-SUR-DRÔME;N/A
14500;VIRE NORMANDIE;N/A
14510;HOULGATE;N/A
14520;PORT-EN-BESSIN-HUPPAIN;N/A
14530;LUC-SUR-MER;N/A
14540;SOLIERS;N/A
14550;BLAINVILLE-SUR-ORNE;N/A
14570;CLÉCY;N/A
14590;MOYAUX;N/A
14610;CAIRON;N/A
14620;MORTEAUX-COULIBOEUF;N/A
14630;FRÉNOUVILLE;N/A
14640;VILLERS-SUR-MER;N/A
14650;CARPIQUET;N/A
14680;BRETTEVILLE-SUR-LAIZE;N/A
14690;PONT-D'OUILLY;N/A
14700;FALAISE;N/A
14710;TRÉVIÈRES;N/A
14730;GIBERVILLE;N/A
14750;SAINT-AUBIN-SUR-MER;N/A
